availability_assumption,availability_basis,feature_available_through,feature_version,horizon_hours,input_manifest_sha256,lineage_id,location_id,origin,origin_local_date,origin_local_hour,origin_local_weekday,pm25_lag_12h,pm25_lag_1h,pm25_lag_24h,pm25_lag_3h,pm25_lag_48h,pm25_lag_6h,pm25_lag_72h,pm25_last_age_hours,pm25_last_available,pm25_trailing_count_12h,pm25_trailing_count_24h,pm25_trailing_count_3h,pm25_trailing_count_6h,pm25_trailing_mean_12h,pm25_trailing_mean_24h,pm25_trailing_mean_3h,pm25_trailing_mean_6h,pm25_trailing_std_24h,pm_asof_rows,pm_available_through,pm_full_lag_coverage,pm_history_reason,purge_reason,purged,sensor_id,split,target_available,target_end,target_local_date,target_local_hour,target_local_weekday,target_missing_reason,target_observation_id,target_quality,target_revision,target_start,weather_forecast_apparent_temperature,weather_forecast_cloud_cover,weather_forecast_missing_count,weather_forecast_precipitation,weather_forecast_reason,weather_forecast_relative_humidity_2m,weather_forecast_run_provenance,weather_forecast_shortwave_radiation,weather_forecast_snapshot_id,weather_forecast_surface_pressure,weather_forecast_temperature_2m,weather_forecast_wind_direction_cos,weather_forecast_wind_direction_sin,weather_forecast_wind_speed_10m
,captured,,phase7_features_v7,24,bdd8c24f86bc4cceab70068f46347a28a0eef585ea00202aebae9ce9e733116c,openaq_14581375|2026-07-17T12:00:00+00:00|24,oceanpark,2026-07-17T12:00:00+00:00,2026-07-17,19,4,,,,,,,,,,0,0,0,0,,,,,,0,,False,no_eligible_accepted_values,,False,openaq_14581375,train,True,2026-07-18T12:00:00+00:00,2026-07-18,19,5,ok,3121,accepted,1,2026-07-18T11:00:00+00:00,,,9,,no_eligible_vintage,,,,,,,,,
,captured,,phase7_features_v7,6,bdd8c24f86bc4cceab70068f46347a28a0eef585ea00202aebae9ce9e733116c,openaq_11357424|2026-07-17T13:00:00+00:00|6,cmt8,2026-07-17T13:00:00+00:00,2026-07-17,20,4,,,,,,,,,,0,0,0,0,,,,,,0,,False,no_eligible_accepted_values,,False,openaq_11357424,train,True,2026-07-17T19:00:00+00:00,2026-07-18,2,5,ok,1143,accepted,1,2026-07-17T18:00:00+00:00,,,9,,no_eligible_vintage,,,,,,,,,
,captured,,phase7_features_v7,24,bdd8c24f86bc4cceab70068f46347a28a0eef585ea00202aebae9ce9e733116c,openaq_11357424|2026-07-17T13:00:00+00:00|24,cmt8,2026-07-17T13:00:00+00:00,2026-07-17,20,4,,,,,,,,,,0,0,0,0,,,,,,0,,False,no_eligible_accepted_values,,False,openaq_11357424,train,True,2026-07-18T13:00:00+00:00,2026-07-18,20,5,ok,1161,accepted,1,2026-07-18T12:00:00+00:00,,,9,,no_eligible_vintage,,,,,,,,,
,captured,,phase7_features_v7,6,bdd8c24f86bc4cceab70068f46347a28a0eef585ea00202aebae9ce9e733116c,openaq_14581375|2026-07-17T13:00:00+00:00|6,oceanpark,2026-07-17T13:00:00+00:00,2026-07-17,20,4,,,,,,,,,,0,0,0,0,,,,,,0,,False,no_eligible_accepted_values,,False,openaq_14581375,train,True,2026-07-17T19:00:00+00:00,2026-07-18,2,5,ok,3104,accepted,1,2026-07-17T18:00:00+00:00,,,9,,no_eligible_vintage,,,,,,,,,
,captured,,phase7_features_v7,24,bdd8c24f86bc4cceab70068f46347a28a0eef585ea00202aebae9ce9e733116c,openaq_14581375|2026-07-17T13:00:00+00:00|24,oceanpark,2026-07-17T13:00:00+00:00,2026-07-17,20,4,,,,,,,,,,0,0,0,0,,,,,,0,,False,no_eligible_accepted_values,,False,openaq_14581375,train,True,2026-07-18T13:00:00+00:00,2026-07-18,20,5,ok,3122,accepted,1,2026-07-18T12:00:00+00:00,,,9,,no_eligible_vintage,,,,,,,,,
,captured,,phase7_features_v7,6,bdd8c24f86bc4cceab70068f46347a28a0eef585ea00202aebae9ce9e733116c,openaq_11357424|2026-07-17T14:00:00+00:00|6,cmt8,2026-07-17T14:00:00+00:00,2026-07-17,21,4,,,,,,,,,,0,0,0,0,,,,,,0,,False,no_eligible_accepted_values,,False,openaq_11357424,train,True,2026-07-17T20:00:00+00:00,2026-07-18,3,5,ok,1144,accepted,1,2026-07-17T19:00:00+00:00,,,9,,no_eligible_vintage,,,,,,,,,
,captured,,phase7_features_v7,24,bdd8c24f86bc4cceab70068f46347a28a0eef585ea00202aebae9ce9e733116c,openaq_11357424|2026-07-17T14:00:00+00:00|24,cmt8,2026-07-17T14:00:00+00:00,2026-07-17,21,4,,,,,,,,,,0,0,0,0,,,,,,0,,False,no_eligible_accepted_values,,False,openaq_11357424,train,True,2026-07-18T14:00:00+00:00,2026-07-18,21,5,ok,1162,accepted,1,2026-07-18T13:00:00+00:00,,,9,,no_eligible_vintage,,,,,,,,,
,captured,,phase7_features_v7,6,bdd8c24f86bc4cceab70068f46347a28a0eef585ea00202aebae9ce9e733116c,openaq_14581375|2026-07-17T14:00:00+00:00|6,oceanpark,2026-07-17T14:00:00+00:00,2026-07-17,21,4,,,,,,,,,,0,0,0,0,,,,,,0,,False,no_eligible_accepted_values,,False,openaq_14581375,train,True,2026-07-17T20:00:00+00:00,2026-07-18,3,5,ok,3105,accepted,1,2026-07-17T19:00:00+00:00,,,9,,no_eligible_vintage,,,,,,,,,
,captured,,phase7_features_v7,24,bdd8c24f86bc4cceab70068f46347a28a0eef585ea00202aebae9ce9e733116c,openaq_14581375|2026-07-17T14:00:00+00:00|24,oceanpark,2026-07-17T14:00:00+00:00,2026-07-17,21,4,,,,,,,,,,0,0,0,0,,,,,,0,,False,no_eligible_accepted_values,,False,openaq_14581375,train,True,2026-07-18T14:00:00+00:00,2026-07-18,21,5,ok,3123,accepted,1,2026-07-18T13:00:00+00:00,,,9,,no_eligible_vintage,,,,,,,,,
,captured,,phase7_features_v7,6,bdd8c24f86bc4cceab70068f46347a28a0eef585ea00202aebae9ce9e733116c,openaq_11357424|2026-07-17T15:00:00+00:00|6,cmt8,2026-07-17T15:00:00+00:00,2026-07-17,22,4,,,,,,,,,,0,0,0,0,,,,,,0,,False,no_eligible_accepted_values,,False,openaq_11357424,train,True,2026-07-17T21:00:00+00:00,2026-07-18,4,5,ok,1145,accepted,1,2026-07-17T20:00:00+00:00,,,9,,no_eligible_vintage,,,,,,,,,
,captured,,phase7_features_v7,24,bdd8c24f86bc4cceab70068f46347a28a0eef585ea00202aebae9ce9e733116c,openaq_11357424|2026-07-17T15:00:00+00:00|24,cmt8,2026-07-17T15:00:00+00:00,2026-07-17,22,4,,,,,,,,,,0,0,0,0,,,,,,0,,False,no_eligible_accepted_values,,False,openaq_11357424,train,True,2026-07-18T15:00:00+00:00,2026-07-18,22,5,ok,1163,accepted,1,2026-07-18T14:00:00+00:00,,,9,,no_eligible_vintage,,,,,,,,,
,captured,,phase7_features_v7,6,bdd8c24f86bc4cceab70068f46347a28a0eef585ea00202aebae9ce9e733116c,openaq_14581375|2026-07-17T15:00:00+00:00|6,oceanpark,2026-07-17T15:00:00+00:00,2026-07-17,22,4,,,,,,,,,,0,0,0,0,,,,,,0,,False,no_eligible_accepted_values,,False,openaq_14581375,train,True,2026-07-17T21:00:00+00:00,2026-07-18,4,5,ok,3106,accepted,1,2026-07-17T20:00:00+00:00,,,9,,no_eligible_vintage,,,,,,,,,
,captured,,phase7_features_v7,24,bdd8c24f86bc4cceab70068f46347a28a0eef585ea00202aebae9ce9e733116c,openaq_14581375|2026-07-17T15:00:00+00:00|24,oceanpark,2026-07-17T15:00:00+00:00,2026-07-17,22,4,,,,,,,,,,0,0,0,0,,,,,,0,,False,no_eligible_accepted_values,,False,openaq_14581375,train,True,2026-07-18T15:00:00+00:00,2026-07-18,22,5,ok,3124,accepted,1,2026-07-18T14:00:00+00:00,,,9,,no_eligible_vintage,,,,,,,,,
