candidate_rows,coverage_percent,eligible_rows,evaluation_type,feature_set,fit_partition,horizon_hours,incomplete_feature_rows,incomplete_history_rows,incomplete_weather_rows,location_id,mae,mase,mase_denominator,mean_error,median_absolute_error,metric_reason,metric_scope,metric_status,model_family,model_reason,model_status,purged_rows_excluded,r2,r2_reason,rmse,scope,sensor_id,smape,split,target_transform,unavailable_target_rows
428,0.0,0,chronological_holdout,history_only,train_plus_validation,6,428,428,0,openaq_14581375,,,,,,insufficient_training_rows;insufficient_training_dates;insufficient_tree_training_rows,descriptive_only,unavailable,bagged_tree,insufficient_training_rows;insufficient_training_dates;insufficient_tree_training_rows,unavailable,0,,insufficient_pairs,,per_sensor,openaq_14581375,,test,log1p,1
2564,0.0,0,in_sample_fit,history_only,train,6,2554,2554,0,pooled,,,,,,insufficient_training_rows;insufficient_training_dates;insufficient_tree_training_rows,descriptive_only,unavailable,bagged_tree,insufficient_training_rows;insufficient_training_dates;insufficient_tree_training_rows,unavailable,10,,insufficient_pairs,,pooled,pooled,,train,log1p,121
854,0.0,0,chronological_holdout,history_only,train,6,844,844,0,pooled,,,,,,insufficient_training_rows;insufficient_training_dates;insufficient_tree_training_rows,descriptive_only,unavailable,bagged_tree,insufficient_training_rows;insufficient_training_dates;insufficient_tree_training_rows,unavailable,10,,insufficient_pairs,,pooled,pooled,,validation,log1p,6
856,0.0,0,chronological_holdout,history_only,train_plus_validation,6,856,856,0,pooled,,,,,,insufficient_training_rows;insufficient_training_dates;insufficient_tree_training_rows,descriptive_only,unavailable,bagged_tree,insufficient_training_rows;insufficient_training_dates;insufficient_tree_training_rows,unavailable,0,,insufficient_pairs,,pooled,pooled,,test,log1p,2
1282,0.0,0,in_sample_fit,history_only,train,6,1277,1277,0,openaq_11357424,,,,,,insufficient_training_rows;insufficient_training_dates;insufficient_tree_training_rows,descriptive_only,unavailable,bagged_tree,insufficient_training_rows;insufficient_training_dates;insufficient_tree_training_rows,unavailable,5,,insufficient_pairs,,per_sensor,openaq_11357424,,train,raw,2
427,0.0,0,chronological_holdout,history_only,train,6,422,422,0,openaq_11357424,,,,,,insufficient_training_rows;insufficient_training_dates;insufficient_tree_training_rows,descriptive_only,unavailable,bagged_tree,insufficient_training_rows;insufficient_training_dates;insufficient_tree_training_rows,unavailable,5,,insufficient_pairs,,per_sensor,openaq_11357424,,validation,raw,3
428,0.0,0,chronological_holdout,history_only,train_plus_validation,6,428,428,0,openaq_11357424,,,,,,insufficient_training_rows;insufficient_training_dates;insufficient_tree_training_rows,descriptive_only,unavailable,bagged_tree,insufficient_training_rows;insufficient_training_dates;insufficient_tree_training_rows,unavailable,0,,insufficient_pairs,,per_sensor,openaq_11357424,,test,raw,1
1282,0.0,0,in_sample_fit,history_only,train,6,1277,1277,0,openaq_14581375,,,,,,insufficient_training_rows;insufficient_training_dates;insufficient_tree_training_rows,descriptive_only,unavailable,bagged_tree,insufficient_training_rows;insufficient_training_dates;insufficient_tree_training_rows,unavailable,5,,insufficient_pairs,,per_sensor,openaq_14581375,,train,raw,119
427,0.0,0,chronological_holdout,history_only,train,6,422,422,0,openaq_14581375,,,,,,insufficient_training_rows;insufficient_training_dates;insufficient_tree_training_rows,descriptive_only,unavailable,bagged_tree,insufficient_training_rows;insufficient_training_dates;insufficient_tree_training_rows,unavailable,5,,insufficient_pairs,,per_sensor,openaq_14581375,,validation,raw,3
428,0.0,0,chronological_holdout,history_only,train_plus_validation,6,428,428,0,openaq_14581375,,,,,,insufficient_training_rows;insufficient_training_dates;insufficient_tree_training_rows,descriptive_only,unavailable,bagged_tree,insufficient_training_rows;insufficient_training_dates;insufficient_tree_training_rows,unavailable,0,,insufficient_pairs,,per_sensor,openaq_14581375,,test,raw,1
